suite,dimension,budget,function_id,problem,algorithm,dsc_rank,dsc_rank2
cec2022,20,1000000,1,F1_20D,ARRDE,4.0,8
cec2022,20,1000000,1,F1_20D,BIPOP-CMA,2.0,4
cec2022,20,1000000,1,F1_20D,LSRTDE,2.0,4
cec2022,20,1000000,1,F1_20D,MSC-CMA,5.0,10
cec2022,20,1000000,1,F1_20D,NLSHADE-RSP,7.0,14
cec2022,20,1000000,1,F1_20D,j2020,6.0,12
cec2022,20,1000000,1,F1_20D,jSO,2.0,4
cec2022,20,1000000,2,F2_20D,ARRDE,1.5,3
cec2022,20,1000000,2,F2_20D,BIPOP-CMA,4.0,8
cec2022,20,1000000,2,F2_20D,LSRTDE,5.5,11
cec2022,20,1000000,2,F2_20D,MSC-CMA,1.5,3
cec2022,20,1000000,2,F2_20D,NLSHADE-RSP,5.5,11
cec2022,20,1000000,2,F2_20D,j2020,3.0,6
cec2022,20,1000000,2,F2_20D,jSO,7.0,14
cec2022,20,1000000,3,F3_20D,ARRDE,6.0,12
cec2022,20,1000000,3,F3_20D,BIPOP-CMA,4.0,8
cec2022,20,1000000,3,F3_20D,LSRTDE,1.0,2
cec2022,20,1000000,3,F3_20D,MSC-CMA,7.0,14
cec2022,20,1000000,3,F3_20D,NLSHADE-RSP,2.0,4
cec2022,20,1000000,3,F3_20D,j2020,5.0,10
cec2022,20,1000000,3,F3_20D,jSO,3.0,6
cec2022,20,1000000,4,F4_20D,ARRDE,4.0,8
cec2022,20,1000000,4,F4_20D,BIPOP-CMA,3.0,6
cec2022,20,1000000,4,F4_20D,LSRTDE,1.0,2
cec2022,20,1000000,4,F4_20D,MSC-CMA,2.0,4
cec2022,20,1000000,4,F4_20D,NLSHADE-RSP,7.0,14
cec2022,20,1000000,4,F4_20D,j2020,6.0,12
cec2022,20,1000000,4,F4_20D,jSO,5.0,10
cec2022,20,1000000,5,F5_20D,ARRDE,2.5,5
cec2022,20,1000000,5,F5_20D,BIPOP-CMA,2.5,5
cec2022,20,1000000,5,F5_20D,LSRTDE,2.5,5
cec2022,20,1000000,5,F5_20D,MSC-CMA,6.0,12
cec2022,20,1000000,5,F5_20D,NLSHADE-RSP,7.0,14
cec2022,20,1000000,5,F5_20D,j2020,5.0,10
cec2022,20,1000000,5,F5_20D,jSO,2.5,5
cec2022,20,1000000,6,F6_20D,ARRDE,2.0,4
cec2022,20,1000000,6,F6_20D,BIPOP-CMA,6.0,12
cec2022,20,1000000,6,F6_20D,LSRTDE,3.0,6
cec2022,20,1000000,6,F6_20D,MSC-CMA,4.0,8
cec2022,20,1000000,6,F6_20D,NLSHADE-RSP,7.0,14
cec2022,20,1000000,6,F6_20D,j2020,5.0,10
cec2022,20,1000000,6,F6_20D,jSO,1.0,2
cec2022,20,1000000,7,F7_20D,ARRDE,3.0,6
cec2022,20,1000000,7,F7_20D,BIPOP-CMA,7.0,14
cec2022,20,1000000,7,F7_20D,LSRTDE,1.0,2
cec2022,20,1000000,7,F7_20D,MSC-CMA,6.0,12
cec2022,20,1000000,7,F7_20D,NLSHADE-RSP,4.0,8
cec2022,20,1000000,7,F7_20D,j2020,5.0,10
cec2022,20,1000000,7,F7_20D,jSO,2.0,4
cec2022,20,1000000,8,F8_20D,ARRDE,4.0,8
cec2022,20,1000000,8,F8_20D,BIPOP-CMA,5.0,10
cec2022,20,1000000,8,F8_20D,LSRTDE,2.0,4
cec2022,20,1000000,8,F8_20D,MSC-CMA,1.0,2
cec2022,20,1000000,8,F8_20D,NLSHADE-RSP,6.0,12
cec2022,20,1000000,8,F8_20D,j2020,7.0,14
cec2022,20,1000000,8,F8_20D,jSO,3.0,6
cec2022,20,1000000,9,F9_20D,ARRDE,6.0,12
cec2022,20,1000000,9,F9_20D,BIPOP-CMA,3.0,6
cec2022,20,1000000,9,F9_20D,LSRTDE,3.0,6
cec2022,20,1000000,9,F9_20D,MSC-CMA,3.0,6
cec2022,20,1000000,9,F9_20D,NLSHADE-RSP,3.0,6
cec2022,20,1000000,9,F9_20D,j2020,7.0,14
cec2022,20,1000000,9,F9_20D,jSO,3.0,6
cec2022,20,1000000,10,F10_20D,ARRDE,5.0,10
cec2022,20,1000000,10,F10_20D,BIPOP-CMA,4.0,8
cec2022,20,1000000,10,F10_20D,LSRTDE,6.0,12
cec2022,20,1000000,10,F10_20D,MSC-CMA,3.0,6
cec2022,20,1000000,10,F10_20D,NLSHADE-RSP,2.0,4
cec2022,20,1000000,10,F10_20D,j2020,1.0,2
cec2022,20,1000000,10,F10_20D,jSO,7.0,14
cec2022,20,1000000,11,F11_20D,ARRDE,2.0,4
cec2022,20,1000000,11,F11_20D,BIPOP-CMA,3.0,6
cec2022,20,1000000,11,F11_20D,LSRTDE,7.0,14
cec2022,20,1000000,11,F11_20D,MSC-CMA,1.0,2
cec2022,20,1000000,11,F11_20D,NLSHADE-RSP,5.0,10
cec2022,20,1000000,11,F11_20D,j2020,4.0,8
cec2022,20,1000000,11,F11_20D,jSO,6.0,12
cec2022,20,1000000,12,F12_20D,ARRDE,1.0,2
cec2022,20,1000000,12,F12_20D,BIPOP-CMA,5.5,11
cec2022,20,1000000,12,F12_20D,LSRTDE,3.0,6
cec2022,20,1000000,12,F12_20D,MSC-CMA,5.5,11
cec2022,20,1000000,12,F12_20D,NLSHADE-RSP,7.0,14
cec2022,20,1000000,12,F12_20D,j2020,4.0,8
cec2022,20,1000000,12,F12_20D,jSO,2.0,4
