func,n_runs,maxevals,mean,median,std,best,worst,elapsed_sec
f1,51,20000,0.0,0.0,0.0,0.0,0.0,0.5
f2,51,20000,8.916614723264002e-15,0.0,4.413499115233451e-14,0.0,2.2737367544323206e-13,0.2
f3,51,20000,0.13770884405166237,0.0,0.4460060501366687,0.0,2.0163302656154656,0.2
f4,51,20000,0.0,0.0,0.0,0.0,0.0,0.2
f8,51,20000,1.5158245029548803e-13,0.0,2.1436995702562478e-13,0.0,4.547473508864641e-13,0.2
f9,51,20000,0.7339047313507228,0.0,4.1556179388968255,0.0,28.905897792214546,0.2
f10,51,20000,1.2483260612569604e-13,0.0,2.395899519698159e-13,0.0,9.094947017729282e-13,0.2
