func,n_runs,maxevals,mean,median,std,best,worst,elapsed_sec
f1,51,300000,1.1753212782102363e-12,4.121147867408581e-13,1.8943081859040814e-12,1.4210854715202004e-14,8.697043085703626e-12,3.7
f2,51,300000,5.015595781836002e-15,0.0,1.0834925236702455e-14,0.0,2.842170943040401e-14,3.1
f3,51,300000,1.1145768404080003e-15,0.0,7.881248420059734e-15,0.0,5.684341886080802e-14,3.3
f4,51,300000,1.0031191563672003e-14,0.0,2.1669850473404914e-14,0.0,5.684341886080802e-14,3.2
f5,51,300000,20.94795726292007,20.959619532096667,0.045032416337600634,20.86746658127322,21.022052308825323,3.5
f6,51,300000,1.7455066988665801e-06,1.1368683772161603e-13,4.82982674100783e-06,0.0,2.8242080247764534e-05,54.6
f7,51,300000,0.0,0.0,0.0,0.0,0.0,3.4
f8,51,300000,1.3656300783635047,0.9949590570934106,1.1649994036942293,1.1368683772161603e-13,3.979836228373415,3.3
f9,51,300000,2.0289361197539897,1.9899181141870486,1.321149786392142,1.1368683772161603e-13,4.974795285552432,3.6
f10,51,300000,17.853357601983767,1.450669070278309,40.72072734001867,0.22901171556441113,122.10330668426104,3.7
f11,51,300000,394.2285016933419,304.98396696840973,329.58084314208566,3.60251432352743,1593.3341448578758,4.0
f12,51,300000,2.358402690894447,2.437462650620546,0.4538427373077389,0.07689583139972456,2.912731410556489,21.8
f13,51,300000,0.09956064216474741,0.1009496765861968,0.0163098614697092,0.05512365731783575,0.1356695250995017,3.0
f14,51,300000,0.30827416953561804,0.3119878055733807,0.037213291674590726,0.211236354223729,0.38336096406897013,3.1
f15,51,300000,8.633564906457819,9.325423941216513,3.3846388163912846,2.1724751915060097,13.74995691953609,3.3
f16,51,300000,9.151826348182192,9.36691230215638,0.8900786065720322,6.961133955559035,10.36572526137229,3.5
f17,51,300000,18.527615569294255,17.932177381391284,9.098775389753582,3.0554771704219092,38.0893417929467,3.8
f18,51,300000,0.5599594087657307,0.382203309094848,0.43865983747701276,0.10538276693660009,1.4948015516863506,3.3
f19,51,300000,1.0040383601751772,0.8288078370781022,0.5523300216213753,0.28220223797734434,2.212082998807091,14.2
f20,51,300000,1.3013366114836857,1.2413160237965712,0.2369616951126722,0.981801697198307,2.3852175537610947,3.3
f21,51,300000,1.9987732543529144,1.8466750571647026,1.3423020669247077,0.6352719969763712,7.383151515671216,3.6
f22,51,300000,65.83876407621247,21.692153832802433,57.570370820881124,20.894790966727214,142.0433968728148,5.5
f23,51,300000,315.24410218556574,315.2441021855657,5.684341886080802e-14,315.2441021855657,315.2441021855657,5.1
f24,51,300000,200.00002545545223,200.0000186388911,2.315554030059699e-05,200.00000459109606,200.00010192736318,4.8
f25,51,300000,202.57278558143145,202.57564011836803,0.03041998386442691,202.5175459613847,202.65686163830287,5.8
f26,51,300000,100.10095812098014,100.09999063895657,0.016666698341406348,100.0519225901221,100.14025045593417,59.4
f27,51,300000,325.4901960784319,300.00000000000045,43.580609354691944,300.0,400.0000000000009,58.2
f28,51,300000,768.6166784858686,775.5762222088752,39.582769823538236,624.0550786958474,827.6950986434858,6.8
f29,51,300000,102.87555085618988,100.0000012417513,11.502190702604368,100.00000011200245,148.88480457682272,15.9
f30,51,300000,343.7652272831578,340.1852094088881,14.771360391737055,325.89227846564427,395.0226613560417,7.3
