suite,dimension,budget,function,function_class,scope,correction,competitor,reference,n_competitor,n_reference,u_competitor,probability_competitor_lower,median_competitor,median_reference,p_raw,holm_family_size,p_holm,alpha,decision
cec2022,10,200000,1,basic,all,holm-bonferroni,ARRDE,MSC-CMA,51,51,1258,0.51633986928104569,0,0,0.72710161337029122,12,1,0.05,not significant
cec2022,10,200000,2,basic,all,holm-bonferroni,ARRDE,MSC-CMA,51,51,1725.5,0.33660130718954251,0,0,0.0013373226973465106,12,0.0053492907893860422,0.05,higher
cec2022,10,200000,3,basic,all,holm-bonferroni,ARRDE,MSC-CMA,51,51,0,1,0,0.0037168849278259586,1.1672845114571643e-19,12,1.4007414137485971e-18,0.05,lower
cec2022,10,200000,4,basic,all,holm-bonferroni,ARRDE,MSC-CMA,51,51,2133.5,0.1797385620915033,0.99495905709329691,0,7.3786527463252125e-09,12,5.1650569224276486e-08,0.05,higher
cec2022,10,200000,5,basic,all,holm-bonferroni,ARRDE,MSC-CMA,51,51,682,0.73779315647827759,0,0,6.2211707512604472e-08,12,3.7327024507562686e-07,0.05,lower
cec2022,10,200000,6,hybrid,all,holm-bonferroni,ARRDE,MSC-CMA,51,51,587,0.77431757016532099,0.38969407758713714,0.47236996505171192,1.8249581028168794e-06,12,9.1247905140843962e-06,0.05,lower
cec2022,10,200000,7,hybrid,all,holm-bonferroni,ARRDE,MSC-CMA,51,51,63,0.97577854671280273,0,0.62410011040788049,4.7209014780239745e-17,12,4.7209014780239742e-16,0.05,lower
cec2022,10,200000,8,hybrid,all,holm-bonferroni,ARRDE,MSC-CMA,51,51,145,0.94425221068819687,0.093508362559532543,0.94611383560913964,1.0748156995893777e-14,12,9.6733412963043993e-14,0.05,lower
cec2022,10,200000,9,composition,all,holm-bonferroni,ARRDE,MSC-CMA,51,51,1450.5,0.44232987312572092,229.2843827084871,229.2843827084871,0.15671846945684959,12,0.47015540837054876,0.05,not significant
cec2022,10,200000,10,composition,all,holm-bonferroni,ARRDE,MSC-CMA,51,51,1331,0.48827374086889663,100.12735656955147,30.176699535088574,0.84086964798487318,12,1,0.05,not significant
cec2022,10,200000,11,composition,all,holm-bonferroni,ARRDE,MSC-CMA,51,51,0,1,0,0,2.2160182224067007e-19,12,2.4376200446473709e-18,0.05,lower
cec2022,10,200000,12,composition,all,holm-bonferroni,ARRDE,MSC-CMA,51,51,178.5,0.93137254901960786,159.54377628679686,163.1891255617611,3.7158079841516489e-14,12,2.9726463873213191e-13,0.05,lower
cec2022,10,200000,1,basic,all,holm-bonferroni,BIPOP-CMA,MSC-CMA,51,51,867,0.66666666666666674,0,0,7.147198956769631e-06,12,6.4324790610926678e-05,0.05,lower
cec2022,10,200000,2,basic,all,holm-bonferroni,BIPOP-CMA,MSC-CMA,51,51,1808,0.30488273740868899,3.796519769139195e-05,0,0.00018230491783526772,12,0.0014584393426821417,0.05,higher
cec2022,10,200000,3,basic,all,holm-bonferroni,BIPOP-CMA,MSC-CMA,51,51,0,1,0,0.0037168849278259586,1.3905886961424435e-20,12,1.6687064353709324e-19,0.05,lower
cec2022,10,200000,4,basic,all,holm-bonferroni,BIPOP-CMA,MSC-CMA,51,51,1291,0.50365244136870435,0,0,0.94727283274474472,12,1,0.05,not significant
cec2022,10,200000,5,basic,all,holm-bonferroni,BIPOP-CMA,MSC-CMA,51,51,663,0.74509803921568629,0,0,1.5380085141177387e-08,12,1.5380085141177387e-07,0.05,lower
cec2022,10,200000,6,hybrid,all,holm-bonferroni,BIPOP-CMA,MSC-CMA,51,51,1624,0.37562475970780473,0.49999999999886313,0.47236996505171192,0.030637406405845967,12,0.15318703202922984,0.05,not significant
cec2022,10,200000,7,hybrid,all,holm-bonferroni,BIPOP-CMA,MSC-CMA,51,51,1487,0.42829680891964628,0.99495907962591446,0.62410011040788049,0.21318925865341876,12,0.63956777596025627,0.05,not significant
cec2022,10,200000,8,hybrid,all,holm-bonferroni,BIPOP-CMA,MSC-CMA,51,51,1584,0.39100346020761245,1.6857159574219622,0.94611383560913964,0.058220208053728947,12,0.23288083221491579,0.05,not significant
cec2022,10,200000,9,composition,all,holm-bonferroni,BIPOP-CMA,MSC-CMA,51,51,1555.5,0.40196078431372551,229.2843827084871,229.2843827084871,0.0023330745840213296,12,0.016331522088149308,0.05,higher
cec2022,10,200000,10,composition,all,holm-bonferroni,BIPOP-CMA,MSC-CMA,51,51,1641,0.36908881199538635,100.3472230098655,30.176699535088574,0.022874724586539833,12,0.13724834751923901,0.05,not significant
cec2022,10,200000,11,composition,all,holm-bonferroni,BIPOP-CMA,MSC-CMA,51,51,0,1,0,0,3.2062406265200671e-18,12,3.526864689172074e-17,0.05,lower
cec2022,10,200000,12,composition,all,holm-bonferroni,BIPOP-CMA,MSC-CMA,51,51,1293,0.50288350634371404,163.49483520287959,163.1891255617611,0.96181735589744632,12,1,0.05,not significant
cec2022,10,200000,1,basic,all,holm-bonferroni,LSRTDE,MSC-CMA,51,51,867,0.66666666666666674,0,0,7.147198956769631e-06,12,5.0030392697387419e-05,0.05,lower
cec2022,10,200000,2,basic,all,holm-bonferroni,LSRTDE,MSC-CMA,51,51,1318.5,0.49307958477508651,0,0,0.88623271077824939,12,0.88623271077824939,0.05,not significant
cec2022,10,200000,3,basic,all,holm-bonferroni,LSRTDE,MSC-CMA,51,51,0,1,0,0.0037168849278259586,2.6790634735483965e-19,12,3.214876168258076e-18,0.05,lower
cec2022,10,200000,4,basic,all,holm-bonferroni,LSRTDE,MSC-CMA,51,51,1067,0.58977316416762782,0,0,0.076357420977153326,12,0.20586199158738097,0.05,not significant
cec2022,10,200000,5,basic,all,holm-bonferroni,LSRTDE,MSC-CMA,51,51,663,0.74509803921568629,0,0,1.5380085141177387e-08,12,1.3842076627059647e-07,0.05,lower
cec2022,10,200000,6,hybrid,all,holm-bonferroni,LSRTDE,MSC-CMA,51,51,1009,0.61207227989234902,0.46427003524149768,0.47236996505171192,0.051465497896845243,12,0.20586199158738097,0.05,not significant
cec2022,10,200000,7,hybrid,all,holm-bonferroni,LSRTDE,MSC-CMA,51,51,498,0.80853517877739334,0,0.62410011040788049,4.9856525817244445e-08,12,3.9885220653795556e-07,0.05,lower
cec2022,10,200000,8,hybrid,all,holm-bonferroni,LSRTDE,MSC-CMA,51,51,810,0.68858131487889274,0.16116250314598801,0.94611383560913964,0.0010401826601815214,12,0.0062410959610891287,0.05,lower
cec2022,10,200000,9,composition,all,holm-bonferroni,LSRTDE,MSC-CMA,51,51,1555.5,0.40196078431372551,229.2843827084871,229.2843827084871,0.0023330745840213296,12,0.011665372920106647,0.05,higher
