func,n_runs,maxevals,mean,median,std,best,worst,elapsed_sec
f1,51,100000,0.0,0.0,0.0,0.0,0.0,0.4
f2,51,100000,0.1151029861352892,0.12489898473359062,0.11017777207936073,0.0,0.37469695419940763,0.6
f3,51,100000,5.035908289648667,5.148227966061313,0.9043340862936208,0.0,5.66559101849964,0.5
f4,51,100000,0.054810582603152525,0.04932336030628903,0.03573963822294021,0.0,0.12339460299494931,0.5
f5,51,100000,0.012237241578621287,0.0,0.08653036503261081,0.0,0.6240993205096856,0.4
f6,51,100000,0.0,0.0,0.0,0.0,0.0,0.3
f7,51,100000,0.0,0.0,0.0,0.0,0.0,0.2
f8,51,100000,4.295865096315716,0.0,19.515311834459396,0.0,100.00000000000045,0.5
f9,51,100000,100.0,100.0,0.0,100.0,100.0,0.2
f10,51,100000,345.50938982008216,347.36691593518754,9.19428518555489,300.0,347.36691593518754,0.3
