suite,dimension,budget,algorithm,payload_algorithm,function_id,n_runs,terminal_value_source,nfev_total_known,nfev_total_min,nfev_total_max,overrun_runs,max_budget_excess,source_path,source_sha256
cec2022,10,200000,MSC-CMA,MSC-CMA,1,51,pkl.errors,True,193853,195170,0,0,/home/svety/cma_es_project/experiments/cec2022/d10/MSC-CMA/maxevals_200000/f1.pkl,7e75db3890320d9dd8b298ab69dac4cadfd6c974701831bac9ea9175b7467639
cec2022,10,200000,MSC-CMA,MSC-CMA,2,51,pkl.errors,True,190831,197017,0,0,/home/svety/cma_es_project/experiments/cec2022/d10/MSC-CMA/maxevals_200000/f2.pkl,da0d5799c43393ac271ec9d5f2b424b0195a091003c54aaf966dcc1c7aaca44d
cec2022,10,200000,MSC-CMA,MSC-CMA,3,51,pkl.errors,True,193543,200009,9,9,/home/svety/cma_es_project/experiments/cec2022/d10/MSC-CMA/maxevals_200000/f3.pkl,a3fe9e3bdb87abcee351eaf9c6c51cc1287887bebc72e4eca7b000912a525c88
cec2022,10,200000,MSC-CMA,MSC-CMA,4,51,pkl.errors,True,191832,194550,0,0,/home/svety/cma_es_project/experiments/cec2022/d10/MSC-CMA/maxevals_200000/f4.pkl,ecfc67c824804c413844dec4e1b3c9a91dc576a823a38b31811d2b12225d04e6
cec2022,10,200000,MSC-CMA,MSC-CMA,5,51,pkl.errors,True,190167,194860,0,0,/home/svety/cma_es_project/experiments/cec2022/d10/MSC-CMA/maxevals_200000/f5.pkl,579757b355e48ede0be1b42a8f9d3e306463005e91ffa03962c9e99460f91349
cec2022,10,200000,MSC-CMA,MSC-CMA,6,51,pkl.errors,True,200000,200009,44,9,/home/svety/cma_es_project/experiments/cec2022/d10/MSC-CMA/maxevals_200000/f6.pkl,277cee4213028c8432a481fde6c6d6c6405715fe7c0891f0e4ec4a8fd0afbcf8
cec2022,10,200000,MSC-CMA,MSC-CMA,7,51,pkl.errors,True,196066,200007,6,7,/home/svety/cma_es_project/experiments/cec2022/d10/MSC-CMA/maxevals_200000/f7.pkl,0d3f008e9f2936a6fe3c475526586ecc79b736223b68b035b8c35fe6c7a7d318
cec2022,10,200000,MSC-CMA,MSC-CMA,8,51,pkl.errors,True,200000,200009,45,9,/home/svety/cma_es_project/experiments/cec2022/d10/MSC-CMA/maxevals_200000/f8.pkl,ea06dab971c578ff82278cff818cc8e18d62db26ee9102416506e084027c1190
cec2022,10,200000,MSC-CMA,MSC-CMA,9,51,pkl.errors,True,190258,195757,0,0,/home/svety/cma_es_project/experiments/cec2022/d10/MSC-CMA/maxevals_200000/f9.pkl,05c8e9c05319c5add461c4903b3cd45fa3538a77151b77af259858bac65725b8
cec2022,10,200000,MSC-CMA,MSC-CMA,10,51,pkl.errors,True,192592,200009,20,9,/home/svety/cma_es_project/experiments/cec2022/d10/MSC-CMA/maxevals_200000/f10.pkl,46debdbdfcb7d42066f9083755a229a863810149c1922fac3d5634cd01d4989a
