suite,dimension,budget,scope,position_average,position_min,position_max,position_label,position_interval,tie_size,dense_group,algorithm,rank_sum2,mean_dsc_rank,k,n_functions,omnibus_method,omnibus_statistic,omnibus_p_value,omnibus_message
cec2022,10,1000000,all,1.0,1,1,1/7,1/7,1,1,ARRDE,71,2.9583333333333335,7,12,friedman,10.33928571428574,0.11107206089004662,The null hypothesis is not rejected.
cec2022,10,1000000,all,2.0,2,2,2/7,2/7,1,2,NLSHADE-RSP,76,3.1666666666666665,7,12,friedman,10.33928571428574,0.11107206089004662,The null hypothesis is not rejected.
cec2022,10,1000000,all,3.0,3,3,3/7,3/7,1,3,j2020,83,3.4583333333333335,7,12,friedman,10.33928571428574,0.11107206089004662,The null hypothesis is not rejected.
cec2022,10,1000000,all,4.0,4,4,4/7,4/7,1,4,jSO,97,4.041666666666667,7,12,friedman,10.33928571428574,0.11107206089004662,The null hypothesis is not rejected.
cec2022,10,1000000,all,5.0,5,5,5/7,5/7,1,5,MSC-CMA,110,4.583333333333333,7,12,friedman,10.33928571428574,0.11107206089004662,The null hypothesis is not rejected.
cec2022,10,1000000,all,6.0,6,6,6/7,6/7,1,6,BIPOP-CMA,117,4.875,7,12,friedman,10.33928571428574,0.11107206089004662,The null hypothesis is not rejected.
cec2022,10,1000000,all,7.0,7,7,7/7,7/7,1,7,LSRTDE,118,4.916666666666667,7,12,friedman,10.33928571428574,0.11107206089004662,The null hypothesis is not rejected.
