func,n_runs,maxevals,mean,median,std,best,worst,elapsed_sec
f15,51,10000000,0.6360881109973853,0.7755099505807266,0.3996730385617938,0.00027020954485124093,1.2202163039685274,
f21,51,10000000,11.764705882354333,1.3642420526593924e-12,32.218973970892,4.547473508864641e-13,100.00000000000182,1730.6
f22,51,10000000,8.551033519610179e-12,6.821210263296962e-12,4.941478150315721e-12,1.3642420526593924e-12,2.319211489520967e-11,2505.8
f23,51,10000000,9.674526974741442e-12,7.73070496506989e-12,5.291032323977144e-12,2.7284841053187847e-12,2.3646862246096134e-11,1869.2
f24,51,10000000,1.8996847667913957e-10,1.6189005691558123e-10,1.0001948173870168e-10,3.1377567211166024e-11,4.793037078343332e-10,1885.1
f25,51,10000000,29.41332414328436,5.370566213969141e-10,45.56692586045704,3.319655661471188e-11,100.01346051218025,1822.2
f26,51,10000000,2.019524068672064e-10,1.9053914002142847e-10,9.875943769182086e-11,6.59383658785373e-11,5.052243068348616e-10,1751.3
f27,51,10000000,288.6367729429971,389.0055265186779,168.93648521756896,4.1989269448095e-06,389.5179902401351,2071.9
f28,51,10000000,3.5554109547542884e-10,2.760316419880837e-10,2.0665522280578192e-10,7.685230229981244e-11,1.0095391189679503e-09,1826.7
f29,51,10000000,201.38683525178874,226.26132756010884,31.51171074165426,146.22215859059997,229.27424284147673,1717.0
f30,51,10000000,396.7015480983782,396.3555975461063,1.3640738407798012,394.51839969247476,399.4911438998515,2315.4
