func,n_runs,maxevals,mean,median,std,best,worst,elapsed_sec
f1,51,1000000,0.0,0.0,0.0,0.0,0.0,26.4
f2,51,1000000,0.014737461902180204,0.0,0.04022635654294773,0.0,0.12489898473359062,23.0
f3,51,1000000,0.0,0.0,0.0,0.0,0.0,21.9
f4,51,1000000,0.012008855090551366,0.0,0.02360506767846438,0.0,0.10486691158462236,21.7
f5,51,1000000,0.0,0.0,0.0,0.0,0.0,22.4
f6,51,1000000,0.0,0.0,0.0,0.0,0.0,21.2
f7,51,1000000,0.0,0.0,0.0,0.0,0.0,22.3
f8,51,1000000,0.0,0.0,0.0,0.0,0.0,23.5
f9,51,1000000,1.7833229446528004e-14,0.0,8.826998230466901e-14,0.0,4.547473508864641e-13,22.6
f10,51,1000000,74.53639806141055,100.00818679398935,47.88303244882487,0.0,200.0,27.3
