suite,dimension,budget,function,function_class,competitor,reference,n_competitor,n_reference,u_competitor,probability_competitor_lower,median_competitor,median_reference,p_raw,bonferroni_family_size,p_bonferroni,alpha,decision
cec2014,10,100000,1,basic,ARRDE,MSC-CMA,51,51,41.5,0.98404459823144941,4.5474735088646412e-13,9.3432959147321526e-09,3.6641015060128147e-17,30,1.0992304518038445e-15,0.05,competitor better
cec2014,10,100000,2,basic,ARRDE,MSC-CMA,51,51,332,0.87235678585159548,2.8421709430404007e-14,3.042401885977597e-09,3.1710390978006637e-11,30,9.5131172934019913e-10,0.05,competitor better
cec2014,10,100000,3,basic,ARRDE,MSC-CMA,51,51,1863,0.2837370242214533,5.6843418860808015e-14,0,6.0464672522648786e-05,30,0.0018139401756794636,0.05,MSC-CMA-ES better
cec2014,10,100000,4,basic,ARRDE,MSC-CMA,51,51,2082,0.19953863898500579,3.1661784305470064e-11,0,1.2834112489929882e-07,30,3.8502337469789645e-06,0.05,MSC-CMA-ES better
cec2014,10,100000,5,basic,ARRDE,MSC-CMA,51,51,724,0.72164552095347945,19.999999295224598,19.999999999848228,0.00011572989954321296,30,0.0034718969862963891,0.05,competitor better
cec2014,10,100000,6,basic,ARRDE,MSC-CMA,51,51,0,1,1.1368683772161603e-13,3.5627060884156663,7.339752357236632e-19,30,2.2019257071709896e-17,0.05,competitor better
cec2014,10,100000,7,basic,ARRDE,MSC-CMA,51,51,645,0.75201845444059978,1.1368683772161603e-13,0.0098572846078468501,7.6222391942957281e-06,30,0.00022866717582887183,0.05,competitor better
cec2014,10,100000,8,basic,ARRDE,MSC-CMA,51,51,136,0.94771241830065356,1.1368683772161603e-13,1.9899181141865938,2.4942610607597171e-15,30,7.4827831822791517e-14,0.05,competitor better
cec2014,10,100000,9,basic,ARRDE,MSC-CMA,51,51,1949,0.25067281814686659,1.9899181141865938,0.99495905709329691,1.1123501767299927e-05,30,0.00033370505301899783,0.05,MSC-CMA-ES better
cec2014,10,100000,10,basic,ARRDE,MSC-CMA,51,51,23.5,0.9909650134563629,0.37472664623328455,25.772814150715021,1.2740599211681601e-17,30,3.8221797635044802e-16,0.05,competitor better
cec2014,10,100000,11,basic,ARRDE,MSC-CMA,51,51,2076,0.20184544405997695,121.9782041842077,11.891979620299935,2.1363054691373325e-07,30,6.4089164074119973e-06,0.05,MSC-CMA-ES better
cec2014,10,100000,12,basic,ARRDE,MSC-CMA,51,51,1778,0.3164167627835448,0.07963881369300907,0.033245797464587667,0.0014108533584974037,30,0.042325600754922116,0.05,MSC-CMA-ES better
cec2014,10,100000,13,basic,ARRDE,MSC-CMA,51,51,0,1,0.02698269640518447,0.38125948453671299,3.3036815016661564e-18,30,9.9110445049984696e-17,0.05,competitor better
cec2014,10,100000,14,basic,ARRDE,MSC-CMA,51,51,65,0.97500961168781242,0.080174579329650442,0.241933362851114,1.3911794652540345e-16,30,4.1735383957621034e-15,0.05,competitor better
cec2014,10,100000,15,basic,ARRDE,MSC-CMA,51,51,125,0.95194156093810078,0.43251756877020853,0.94618901446119708,3.7226227932360479e-15,30,1.1167868379708144e-13,0.05,competitor better
cec2014,10,100000,16,basic,ARRDE,MSC-CMA,51,51,0,1,1.103634588355817,3.2060587512919483,3.3036815016661564e-18,30,9.9110445049984696e-17,0.05,competitor better
cec2014,10,100000,17,hybrid,ARRDE,MSC-CMA,51,51,548,0.78931180315263361,1.4112450263849041,5.9697493047444823,4.8282400010980944e-07,30,1.4484720003294282e-05,0.05,competitor better
cec2014,10,100000,18,hybrid,ARRDE,MSC-CMA,51,51,549,0.78892733564013839,0.24990655565784436,0.45894903967587197,5.002336081955756e-07,30,1.5007008245867268e-05,0.05,competitor better
