func,n_runs,maxevals,mean,median,std,best,worst,elapsed_sec
f1,51,50000,0.0,0.0,0.0,0.0,0.0,0.4
f2,51,50000,0.3592177241920777,0.2497979694667265,0.9257733507401441,4.547473508864641e-13,6.829380220128769,0.3
f3,51,50000,5.197024779935465,5.148227966061313,0.6731413870972068,0.6130271864118413,5.972048384779896,0.3
f4,51,50000,0.08001248862469498,0.10322663620922867,0.043877235570260874,0.0,0.13556983196212968,0.3
f5,51,50000,0.04894896631448515,0.0,0.16778860304938795,0.0,0.6240993205096856,0.2
f6,51,50000,0.0,0.0,0.0,0.0,0.0,0.2
f7,51,50000,0.0,0.0,0.0,0.0,0.0,0.2
f8,51,50000,2.6749844169792007e-14,0.0,1.0699937667916803e-13,0.0,4.547473508864641e-13,0.2
f9,51,50000,100.00000000000001,100.0,8.834427754394017e-14,100.0,100.00000000000045,0.2
f10,51,50000,346.4381528776349,347.36691593518754,6.567346561110636,300.0,347.36691593518754,0.2
