func,n_runs,maxevals,mean,median,std,best,worst,elapsed_sec
f1,51,100000,1.1611834658950494e-06,1.0841802122740773e-08,3.505408001965355e-06,0.0,1.763168894797218e-05,19.5
f2,51,100000,7.058022398340137e-07,2.9227180675661657e-08,2.4683994611436682e-06,0.0,1.685359143266396e-05,13.9
f3,51,100000,2.8756082482526406e-13,0.0,1.3808325094849363e-12,0.0,9.663381206337363e-12,19.6
f4,51,100000,4.6849506753622485,0.0,10.108128207905361,0.0,34.78027487472065,16.3
f5,51,100000,19.774337038400734,20.013475573051892,2.8024627046348596,1.460875864722766e-11,20.472980282454273,24.4
f6,51,100000,3.1253177208796377,3.242874168277922,1.3360731583792766,0.2639472473663318,5.610358642405231,27.0
f7,51,100000,0.009318383841339121,0.00985728460784685,0.009428209781775361,0.0,0.03687212742636348,16.0
f8,51,100000,2.731258082330618,1.9899181141865938,1.8882431582324226,0.0,7.959662381108274,16.0
f9,51,100000,0.5852700335842923,0.0,0.7418552596611364,0.0,1.9899181141865938,14.9
f10,51,100000,32.29477151045457,27.09754220349896,32.35460211302351,0.18736332311618753,162.32581546740494,19.1
f11,51,100000,21.00721251530914,15.306940307990772,24.35228720668366,0.18736332311618753,130.25749544453674,18.3
f12,51,100000,0.06088509534327511,0.053367209332009224,0.04962253755779087,3.115019353572279e-11,0.19785532563355446,20.6
f13,51,100000,0.3542909963922623,0.31890786379926794,0.19034888257236984,0.05463027016276101,0.865603013638065,18.4
f14,51,100000,0.23266626326069265,0.22381515885626868,0.06915536257864187,0.09536383311137797,0.36435304488873044,16.7
f15,51,100000,1.0159610390809728,0.9746243252529894,0.3776880695827136,0.4422946267811767,1.9570720369708852,15.0
f16,51,100000,3.2183996057497053,3.275425430233554,0.32666629771306543,1.9983130936007,3.6960678553966773,22.7
f17,51,100000,4.888618450909159,1.4112454574583353,7.684150555574613,3.8835423765704036e-10,41.209374797078,19.1
f18,51,100000,0.5736861932752092,0.49196541970150065,0.26027166421614834,0.06672515190734885,1.4324358674289215,18.7
f19,51,100000,1.7297289115297234,1.6787015101483576,0.3196890038669586,0.8343771817985726,2.6526939747586766,18.4
f20,51,100000,1.0986620017470115,1.2019973804931396,0.45010611051699395,0.17872465879190713,1.8404627159316078,
f21,51,100000,1.313364825087881,1.2437370112584176,0.42409502683460165,0.5702071110208635,2.583251405358169,
f22,51,100000,13.143740778975406,20.212491952199798,9.212422697306478,0.1488237858170578,21.75216974400064,
f23,51,100000,319.88154482578375,329.4574747107131,44.60998484163071,100.00000000023056,329.4574747107131,
f24,51,100000,105.84882400479589,106.70130283990284,2.618386091626802,100.00000000000136,109.95832188508712,
f25,51,100000,114.11876590490522,115.58039715482028,8.935023273207076,100.00000000000182,138.68643955295465,
f26,51,100000,100.22131047529511,100.21942592139658,0.08313352020776289,100.0768283126381,100.40776715883703,
f27,51,100000,2.0411100480996005,2.0478761571866926,0.4219523613964199,1.0721374702388857,2.9149602177471934,
f28,51,100000,298.4315359005325,373.4849912852296,122.48708127582466,100.05062454177187,380.6290287070492,
f29,51,100000,218.29315621214985,224.12581249883942,18.515690846182714,144.09164452244795,241.23530087186055,
f30,51,100000,474.1506322255309,471.94310316408155,21.85264812388186,357.45891250141267,551.4471745793153,
