suite,dimension,budget,function,function_class,competitor,reference,n_competitor,n_reference,u_competitor,probability_competitor_lower,median_competitor,median_reference,p_raw,bonferroni_family_size,p_bonferroni,alpha,decision
cec2020,20,10000000,1,basic,ARRDE,MSC-CMA,51,51,688.5,0.73529411764705888,0,0,2.5457342554923859e-08,10,2.5457342554923858e-07,0.05,competitor better
cec2020,20,10000000,2,basic,ARRDE,MSC-CMA,51,51,0,1,0.15614228919366724,9.5486921414230892,2.9274509697759651e-18,10,2.9274509697759648e-17,0.05,competitor better
cec2020,20,10000000,3,basic,ARRDE,MSC-CMA,51,51,2601,0,20.387215350062434,1.5845387606293571,3.8376188730132077e-20,10,3.8376188730132079e-19,0.05,MSC-CMA-ES better
cec2020,20,10000000,4,basic,ARRDE,MSC-CMA,51,51,0,1,0.41073417209349827,1.9718829781511431,3.3036815016661564e-18,10,3.3036815016661565e-17,0.05,competitor better
cec2020,20,10000000,5,hybrid,ARRDE,MSC-CMA,51,51,383.5,0.85255670895809299,0.31225570917104051,1.8304183441100577,8.2921411587030568e-10,10,8.292141158703057e-09,0.05,competitor better
cec2020,20,10000000,6,hybrid,ARRDE,MSC-CMA,51,51,0,1,0.50719684714431423,7.919750001176908,3.3029654153868941e-18,10,3.3029654153868944e-17,0.05,competitor better
cec2020,20,10000000,7,hybrid,ARRDE,MSC-CMA,51,51,84,0.96770472895040371,0.65611754583369475,1.8001949639665327,4.0030359720259915e-16,10,4.0030359720259916e-15,0.05,competitor better
cec2020,20,10000000,8,composition,ARRDE,MSC-CMA,51,51,2447,0.059207996924259931,82.187907629334404,38.82865744397759,1.4992228211035369e-14,10,1.499222821103537e-13,0.05,MSC-CMA-ES better
cec2020,20,10000000,9,composition,ARRDE,MSC-CMA,51,51,49,0.98116109188773548,100.00000000000045,100.00000000004593,1.558413572565082e-18,10,1.5584135725650821e-17,0.05,competitor better
cec2020,20,10000000,10,composition,ARRDE,MSC-CMA,51,51,86,0.96693579392541329,399.03793845758264,400.84491997975874,4.1760674597293365e-16,10,4.1760674597293368e-15,0.05,competitor better
cec2020,20,10000000,1,basic,BIPOP-CMA,MSC-CMA,51,51,688.5,0.73529411764705888,0,0,2.5457342554923859e-08,10,2.5457342554923858e-07,0.05,competitor better
cec2020,20,10000000,2,basic,BIPOP-CMA,MSC-CMA,51,51,2316.5,0.10938100730488276,16.921409417243922,9.5486921414230892,1.0503780915415445e-11,10,1.0503780915415445e-10,0.05,MSC-CMA-ES better
cec2020,20,10000000,3,basic,BIPOP-CMA,MSC-CMA,51,51,1,0.99961553248750479,0,1.5845387606293571,2.1253466316311149e-20,10,2.1253466316311148e-19,0.05,competitor better
cec2020,20,10000000,4,basic,BIPOP-CMA,MSC-CMA,51,51,48,0.98154555940023069,0.88927271585680501,1.9718829781511431,5.3257162143184026e-17,10,5.3257162143184023e-16,0.05,competitor better
cec2020,20,10000000,5,hybrid,BIPOP-CMA,MSC-CMA,51,51,841.5,0.67647058823529416,0.83545928701641969,1.8304183441100577,0.0021368870089753422,10,0.021368870089753422,0.05,competitor better
cec2020,20,10000000,6,hybrid,BIPOP-CMA,MSC-CMA,51,51,1049,0.59669357939254131,6.5811763918445649,7.919750001176908,0.092982700892623518,10,0.92982700892623515,0.05,not significant
cec2020,20,10000000,7,hybrid,BIPOP-CMA,MSC-CMA,51,51,432,0.83391003460207613,0.98778445725656638,1.8001949639665327,6.2365260913165029e-09,10,6.2365260913165025e-08,0.05,competitor better
cec2020,20,10000000,8,composition,BIPOP-CMA,MSC-CMA,51,51,2475,0.048442906574394429,100.00000000000045,38.82865744397759,1.3888531397928133e-15,10,1.3888531397928133e-14,0.05,MSC-CMA-ES better
cec2020,20,10000000,9,composition,BIPOP-CMA,MSC-CMA,51,51,1660,0.36178392925797775,200.00000000000455,100.00000000004593,0.016270802197469819,10,0.16270802197469819,0.05,not significant
cec2020,20,10000000,10,composition,BIPOP-CMA,MSC-CMA,51,51,2235,0.14071510957324107,413.65733976634874,400.84491997975874,3.907470630731136e-10,10,3.9074706307311363e-09,0.05,MSC-CMA-ES better
cec2020,20,10000000,1,basic,LSRTDE,MSC-CMA,51,51,688.5,0.73529411764705888,0,0,2.5457342554923859e-08,10,2.5457342554923858e-07,0.05,competitor better
cec2020,20,10000000,2,basic,LSRTDE,MSC-CMA,51,51,20,0.99231064975009609,1.8324618293736421,9.5486921414230892,1.0224139044730038e-17,10,1.0224139044730037e-16,0.05,competitor better
cec2020,20,10000000,3,basic,LSRTDE,MSC-CMA,51,51,2601,0,20.715439859208004,1.5845387606293571,3.1284877689283362e-18,10,3.1284877689283362e-17,0.05,MSC-CMA-ES better
cec2020,20,10000000,4,basic,LSRTDE,MSC-CMA,51,51,607,0.76662821991541719,1.5865636759810968,1.9718829781511431,3.5171819920796671e-06,10,3.5171819920796669e-05,0.05,competitor better
cec2020,20,10000000,5,hybrid,LSRTDE,MSC-CMA,51,51,568.5,0.78143021914648214,0.41634094556138734,1.8304183441100577,9.6925914930091006e-07,10,9.6925914930091011e-06,0.05,competitor better
cec2020,20,10000000,6,hybrid,LSRTDE,MSC-CMA,51,51,0,1,0.74703411229074845,7.919750001176908,2.8912653573289941e-18,10,2.8912653573289944e-17,0.05,competitor better
cec2020,20,10000000,7,hybrid,LSRTDE,MSC-CMA,51,51,846,0.67474048442906576,0.83166691142241689,1.8001949639665327,0.0023562473221961969,10,0.02356247322196197,0.05,competitor better
cec2020,20,10000000,8,composition,LSRTDE,MSC-CMA,51,51,2601,0,100.00000000000045,38.82865744397759,6.8831868019631798e-19,10,6.8831868019631796e-18,0.05,MSC-CMA-ES better
cec2020,20,10000000,9,composition,LSRTDE,MSC-CMA,51,51,2601,0,377.29914251736591,100.00000000004593,3.220890709340132e-18,10,3.2208907093401322e-17,0.05,MSC-CMA-ES better
cec2020,20,10000000,10,composition,LSRTDE,MSC-CMA,51,51,2397,0.078431372549019662,413.65733976634874,400.84491997975874,8.4402903759969853e-14,10,8.4402903759969853e-13,0.05,MSC-CMA-ES better
cec2020,20,10000000,1,basic,NLSHADE-RSP,MSC-CMA,51,51,688.5,0.73529411764705888,0,0,2.5457342554923859e-08,10,2.5457342554923858e-07,0.05,competitor better
cec2020,20,10000000,2,basic,NLSHADE-RSP,MSC-CMA,51,51,3,0.99884659746251436,0.062456915677103098,9.5486921414230892,3.0932417039939331e-18,10,3.0932417039939328e-17,0.05,competitor better
cec2020,20,10000000,3,basic,NLSHADE-RSP,MSC-CMA,51,51,2601,0,20.387215350062434,1.5845387606293571,1.9881522354074772e-20,10,1.9881522354074772e-19,0.05,MSC-CMA-ES better
cec2020,20,10000000,4,basic,NLSHADE-RSP,MSC-CMA,51,51,0,1,0,1.9718829781511431,3.836583704452334e-20,10,3.8365837044523339e-19,0.05,competitor better
cec2020,20,10000000,5,hybrid,NLSHADE-RSP,MSC-CMA,51,51,2478.5,0.047097270280661241,126.32772369611689,1.8304183441100577,3.2506854260693152e-15,10,3.250685426069315e-14,0.05,MSC-CMA-ES better
cec2020,20,10000000,6,hybrid,NLSHADE-RSP,MSC-CMA,51,51,0,1,0.14412981717418916,7.919750001176908,3.3036815016661564e-18,10,3.3036815016661565e-17,0.05,competitor better
cec2020,20,10000000,7,hybrid,NLSHADE-RSP,MSC-CMA,51,51,1649,0.36601307189542487,8.6573639122393615,1.8001949639665327,0.019855773219269939,10,0.1985577321926994,0.05,not significant
cec2020,20,10000000,8,composition,NLSHADE-RSP,MSC-CMA,51,51,2567,0.013071895424836555,100.00000000000045,38.82865744397759,9.0259754042379668e-18,10,9.0259754042379665e-17,0.05,MSC-CMA-ES better
cec2020,20,10000000,9,composition,NLSHADE-RSP,MSC-CMA,51,51,50,0.98077662437524027,100.00000000000045,100.00000000004593,7.0351967894106702e-18,10,7.0351967894106702e-17,0.05,competitor better
cec2020,20,10000000,10,composition,NLSHADE-RSP,MSC-CMA,51,51,766,0.7054978854286813,399.09335167928793,400.84491997975874,0.00034944666339349509,10,0.0034944666339349509,0.05,competitor better
cec2020,20,10000000,1,basic,j2020,MSC-CMA,51,51,739.5,0.71568627450980393,0,0,6.7165557734383128e-07,10,6.716555773438313e-06,0.05,competitor better
cec2020,20,10000000,2,basic,j2020,MSC-CMA,51,51,0,1,0.031228457839461043,9.5486921414230892,2.1399213983199119e-18,10,2.139921398319912e-17,0.05,competitor better
cec2020,20,10000000,3,basic,j2020,MSC-CMA,51,51,2248,0.13571703191080353,20.387215350062434,1.5845387606293571,1.3345319427626321e-10,10,1.3345319427626322e-09,0.05,MSC-CMA-ES better
cec2020,20,10000000,4,basic,j2020,MSC-CMA,51,51,0,1,0.20732135119033046,1.9718829781511431,3.3036815016661564e-18,10,3.3036815016661565e-17,0.05,competitor better
cec2020,20,10000000,5,hybrid,j2020,MSC-CMA,51,51,2601,0,68.919080593287845,1.8304183441100577,3.2972420208461513e-18,10,3.2972420208461515e-17,0.05,MSC-CMA-ES better
cec2020,20,10000000,6,hybrid,j2020,MSC-CMA,51,51,0,1,0.27213154742617007,7.919750001176908,3.3036815016661564e-18,10,3.3036815016661565e-17,0.05,competitor better
cec2020,20,10000000,7,hybrid,j2020,MSC-CMA,51,51,526,0.79777008842752783,0.34425314145619268,1.8001949639665327,2.2170103147120304e-07,10,2.2170103147120303e-06,0.05,competitor better
cec2020,20,10000000,8,composition,j2020,MSC-CMA,51,51,2515,0.033064206074586711,100.00000000000091,38.82865744397759,4.3018089875353327e-17,10,4.3018089875353327e-16,0.05,MSC-CMA-ES better
cec2020,20,10000000,9,composition,j2020,MSC-CMA,51,51,2351,0.096116878123798544,411.80422637120728,100.00000000004593,2.1020445599322613e-12,10,2.1020445599322614e-11,0.05,MSC-CMA-ES better
cec2020,20,10000000,10,composition,j2020,MSC-CMA,51,51,342,0.86851211072664358,399.09335167928612,400.84491997975874,1.4238582903277365e-10,10,1.4238582903277365e-09,0.05,competitor better
cec2020,20,10000000,1,basic,jSO,MSC-CMA,51,51,688.5,0.73529411764705888,0,0,2.5457342554923859e-08,10,2.5457342554923858e-07,0.05,competitor better
cec2020,20,10000000,2,basic,jSO,MSC-CMA,51,51,7,0.99730872741253362,1.770004913696539,9.5486921414230892,4.7353500465562387e-18,10,4.7353500465562386e-17,0.05,competitor better
cec2020,20,10000000,3,basic,jSO,MSC-CMA,51,51,2601,0,21.474731069510312,1.5845387606293571,3.3036815016661564e-18,10,3.3036815016661565e-17,0.05,MSC-CMA-ES better
cec2020,20,10000000,4,basic,jSO,MSC-CMA,51,51,0,1,0.36415347702950385,1.9718829781511431,3.3022494762767633e-18,10,3.3022494762767634e-17,0.05,competitor better
cec2020,20,10000000,5,hybrid,jSO,MSC-CMA,51,51,2406.5,0.074778931180315311,6.2820050139118848,1.8304183441100577,1.3656978508003043e-13,10,1.3656978508003042e-12,0.05,MSC-CMA-ES better
cec2020,20,10000000,6,hybrid,jSO,MSC-CMA,51,51,0,1,1.0821839064913092,7.919750001176908,3.3036815016661564e-18,10,3.3036815016661565e-17,0.05,competitor better
cec2020,20,10000000,7,hybrid,jSO,MSC-CMA,51,51,16,0.99384851980007693,0.06820102514438986,1.8001949639665327,8.4406347935300773e-18,10,8.4406347935300773e-17,0.05,competitor better
cec2020,20,10000000,8,composition,jSO,MSC-CMA,51,51,2601,0,100.00000000000045,38.82865744397759,1.3905886961424435e-20,10,1.3905886961424435e-19,0.05,MSC-CMA-ES better
cec2020,20,10000000,9,composition,jSO,MSC-CMA,51,51,2601,0,393.01292259675711,100.00000000004593,3.2965272580622978e-18,10,3.2965272580622981e-17,0.05,MSC-CMA-ES better
cec2020,20,10000000,10,composition,jSO,MSC-CMA,51,51,2397,0.078431372549019662,413.65733976634874,400.84491997975874,6.6572981248567875e-14,10,6.6572981248567875e-13,0.05,MSC-CMA-ES better
