func,n_runs,maxevals,mean,median,std,best,worst,elapsed_sec
f1,51,1000000,0.0,0.0,0.0,0.0,0.0,1.0
f2,51,1000000,0.0,0.0,0.0,0.0,0.0,0.6
f3,51,1000000,0.0,0.0,0.0,0.0,0.0,0.5
f4,51,1000000,21.822917568452166,34.78027487472065,16.81568733057553,0.0,34.78027487472065,0.7
f5,51,1000000,2.412201010346934,0.0,6.435551046126275,0.0,20.000084430451807,5.5
f6,51,1000000,0.0,0.0,0.0,0.0,0.0,15.5
f7,51,1000000,0.0,0.0,0.0,0.0,0.0,4.4
f8,51,1000000,0.0,0.0,0.0,0.0,0.0,4.3
f9,51,1000000,1.3071030750049195,0.9949590570932969,0.6069776673733396,0.0,2.9848771712798907,5.5
f10,51,1000000,0.0,0.0,0.0,0.0,0.0,6.4
f11,51,1000000,28.190577926616154,12.141797384454549,39.54377516760219,0.31227220519485854,149.00496736439436,6.0
f12,51,1000000,0.014896184297230337,0.015013448828995024,0.008366519311264663,5.229594535194337e-12,0.03304893951235499,27.0
f13,51,1000000,0.02665879513807679,0.02719138049042158,0.00998346930270069,0.010489726896366847,0.0499618438818743,5.8
f14,51,1000000,0.01880769130760057,0.01815793790024145,0.007107383228595932,0.00643679962877286,0.034632625641279446,7.6
f15,51,1000000,0.2693673985197486,0.265746999627936,0.056140880981020554,0.13865152148810012,0.393495987115557,6.1
f16,51,1000000,0.45127435835525814,0.4260685182987345,0.15498465416738252,0.1521754292350579,0.7582204092141183,7.0
f17,51,1000000,0.32609416520819523,0.2081429846455194,0.30254436279279484,0.0,1.2031020417391574,6.6
f18,51,1000000,0.0015723185802418063,0.0002798891146085225,0.005484278028013699,7.49594528315356e-06,0.037949237458633434,7.3
f19,51,1000000,0.007737162434251313,2.2737367544323206e-13,0.008944951866668252,0.0,0.029147729632541086,15.2
f20,51,1000000,0.028454416019017385,0.029856212903723645,0.04052373805016611,4.498706402955577e-07,0.291235649686314,7.8
f21,51,1000000,0.01790371747209992,0.00024692371016499237,0.0822496484372885,6.338632374536246e-08,0.49995650024402494,7.8
f22,51,1000000,0.01832503340035021,0.020604590054517757,0.012206115365776262,7.981369890330825e-06,0.04249835210794117,21.4
f23,51,1000000,329.4574747107131,329.4574747107131,0.0,329.4574747107131,329.4574747107131,19.2
f24,51,1000000,104.40918211190107,105.89649638900937,3.2242792474533584,100.0,108.91070468124417,11.8
f25,51,1000000,111.00781406176979,109.96350542377877,15.652466214140068,100.0,201.31951409374642,7.1
f26,51,1000000,100.02728358922123,100.02588388024105,0.010837985569158562,100.00697447615357,100.05012170716554,70.6
f27,51,1000000,6.034543636118301,0.14421393773727686,41.57306297443312,0.036146420008208224,300.0,90.3
f28,51,1000000,381.57189569397235,356.82687929708663,44.34269821610354,356.82687929708663,476.38377810755173,6.7
f29,51,1000000,219.9788187529462,221.76056048962437,12.478133838150116,131.74599155891065,221.76056048962437,19.1
f30,51,1000000,461.60123841265306,462.33478046411574,7.380979819448052,454.3112829852698,499.58611948862244,11.1
