func,n_runs,maxevals,mean,median,std,best,worst,elapsed_sec
f1,51,100000,9.752547353570003e-15,1.4210854715202004e-14,1.1427810209086612e-14,0.0,5.684341886080802e-14,2.3
f2,51,100000,1.9217118185981912,0.2497979694667265,3.8147918161110757,4.547473508864641e-13,18.898357904795375,2.1
f3,51,100000,2.406307221041654,0.9949592496099058,2.3508330627629976,0.0,5.790222455475259,2.1
f4,51,100000,0.038950874410762906,0.01980244342462356,0.044636183385192915,0.0,0.14637404087329742,2.2
f5,51,100000,4.458307361632001e-15,0.0,3.1524993680238935e-14,0.0,2.2737367544323206e-13,2.1
f6,51,100000,0.0,0.0,0.0,0.0,0.0,2.2
f7,51,100000,0.0,0.0,0.0,0.0,0.0,2.1
f8,51,100000,6.496377988928454e-10,4.547473508864641e-13,4.590996200457339e-09,0.0,3.311288310214877e-08,2.5
f9,51,100000,18.474511394004946,9.094947017729282e-13,37.927596953509244,0.0,100.00000000000045,2.5
f10,51,100000,101.47882284950008,100.05181198277523,66.17929267138328,0.0,300.00000000000045,2.5
