suite,dimension,budget,scope,position_average,position_min,position_max,position_label,position_interval,tie_size,dense_group,algorithm,rank_sum2,mean_dsc_rank,k,n_functions,omnibus_method,omnibus_statistic,omnibus_p_value,omnibus_message,dsc_status,posthoc_control,posthoc_holm_p
cec2020,15,3000000,all,1.0,1,1,1/3,1/3,1,1,BIPOP-CMA,35,1.75,3,10,friedman,1.9500000000000028,0.3771923535631564,The null hypothesis is not rejected.,O,,
cec2020,15,3000000,all,2.0,2,2,2/3,2/3,1,2,MSC-CMA,38,1.9,3,10,friedman,1.9500000000000028,0.3771923535631564,The null hypothesis is not rejected.,O,,
cec2020,15,3000000,all,3.0,3,3,3/3,3/3,1,3,CMAES-NBC,47,2.35,3,10,friedman,1.9500000000000028,0.3771923535631564,The null hypothesis is not rejected.,O,,
