func,n_runs,maxevals,mean,median,std,best,worst,elapsed_sec
f1,51,20000,1.7041879889838324e-12,0.0,1.0912360894964288e-11,0.0,7.852918315620627e-11,5.0
f2,51,20000,0.048968353879476414,0.0,0.11352845805766056,0.0,0.3121732559816337,6.1
f3,51,20000,0.5925602516995263,7.958078640513122e-13,0.7297206641823518,0.0,2.170790257376666,2.5
f4,51,20000,7.10754122837006e-06,0.0,4.3632566946109713e-05,0.0,0.0003115739484655933,1.9
f8,51,20000,3.3935565642976003e-09,4.0472514228895307e-11,1.5035555175924505e-08,0.0,1.0338908396079205e-07,7.0
f9,51,20000,7.373813002463887e-08,5.64341462450102e-10,2.491825641543994e-07,4.547473508864641e-13,1.5463638192159124e-06,2.1
f10,51,20000,9.958075322941237e-11,6.821210263296962e-12,3.107591090887802e-10,4.547473508864641e-13,2.1091182134114206e-09,2.2
